epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.785,1.80403,6.41591,0.0391,0.00193,0.83908,0.08842,0.03892,1.12677,10.3786,0.02757,0.00035725,0.00035725,0.00035725
2,251.226,1.4641,5.72247,0.02949,0.00233,1,0.14448,0.05592,1.38213,10.1133,0.03373,0.000721575,0.000721575,0.000721575
3,355.428,1.40287,5.28173,0.02806,0.01528,0.97701,0.18246,0.0655,1.71279,9.61583,0.04524,0.00107854,0.00107854,0.00107854
4,460.333,1.45557,4.75417,0.0282,0.56111,0.16632,0.35828,0.16886,1.60882,8.00548,0.04237,0.00138656,0.00138656,0.00138656
5,582.988,1.44492,4.30779,0.02807,0.49081,0.38716,0.40322,0.19039,1.58823,6.84246,0.04559,0.00137241,0.00137241,0.00137241
6,654.61,1.47764,3.94449,0.02949,0.51226,0.37888,0.31128,0.10642,1.7103,6.14143,0.04817,0.00135826,0.00135826,0.00135826
7,725.723,1.53062,3.7065,0.02984,0.3227,0.28405,0.32217,0.13946,1.67105,5.00457,0.04402,0.00134412,0.00134412,0.00134412
8,797.119,1.54841,3.41222,0.03145,0.44429,0.58108,0.55339,0.24912,1.65285,4.84355,0.04396,0.00132997,0.00132997,0.00132997
9,869.626,1.57134,3.14923,0.03133,0.58947,0.48712,0.58301,0.2697,1.71226,3.69531,0.0476,0.00131582,0.00131582,0.00131582
10,941.667,1.59919,2.95583,0.03236,0.46019,0.60984,0.58647,0.23911,1.81784,3.66655,0.05064,0.00130168,0.00130168,0.00130168
11,1012.2,1.48011,2.73372,0.02993,0.56555,0.60962,0.62141,0.35283,1.38033,2.92477,0.03563,0.00128753,0.00128753,0.00128753
12,1086.98,1.51081,2.54516,0.03022,0.47168,0.74696,0.64833,0.34468,1.71593,2.40952,0.04588,0.00127338,0.00127338,0.00127338
13,1158.3,1.52419,2.45945,0.03067,0.50944,0.71096,0.66524,0.39975,1.40441,2.02887,0.03607,0.00125923,0.00125923,0.00125923
14,1229.14,1.48912,2.38702,0.02997,0.5428,0.66553,0.59007,0.31343,1.61698,2.11906,0.04056,0.00124509,0.00124509,0.00124509
