epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1299.12,1.46968,2.16233,0.02888,0.64871,0.635,0.70137,0.27998,2.15557,1.97533,0.06174,0.00123094,0.00123094,0.00123094
16,1369.62,1.45642,2.15401,0.02954,0.61976,0.58295,0.70367,0.39254,1.50039,2.05745,0.04133,0.00121679,0.00121679,0.00121679
17,1442.99,1.50662,2.20891,0.0304,0.68772,0.65514,0.74005,0.43765,1.49448,1.77583,0.04078,0.00120265,0.00120265,0.00120265
18,1535.9,1.54877,2.13091,0.03039,0.80372,0.61566,0.78529,0.49189,1.43403,1.58793,0.03741,0.0011885,0.0011885,0.0011885
19,1606.61,1.46743,2.09263,0.02947,0.73267,0.77482,0.83421,0.46623,1.66802,1.6558,0.04642,0.00117435,0.00117435,0.00117435
20,1677.03,1.46171,1.96797,0.02905,0.5462,0.74264,0.75654,0.46533,1.48312,1.54098,0.03971,0.00116021,0.00116021,0.00116021
21,1752.86,1.48114,1.8856,0.02986,0.71684,0.73735,0.77412,0.40932,1.78844,1.49512,0.05143,0.00114606,0.00114606,0.00114606
22,1824.42,1.48907,1.82689,0.03029,0.78576,0.74566,0.84392,0.51654,1.48178,1.20972,0.03804,0.00113191,0.00113191,0.00113191
23,1894.58,1.51436,1.93628,0.03028,0.83616,0.73685,0.82976,0.45632,1.71588,1.21791,0.04339,0.00111776,0.00111776,0.00111776
24,1964.62,1.43158,1.83608,0.02824,0.70178,0.8414,0.81592,0.473,1.65939,1.13389,0.04531,0.00110362,0.00110362,0.00110362
25,2035.05,1.42231,1.92036,0.02734,0.85182,0.67497,0.84429,0.57179,1.33087,1.10029,0.03603,0.00108947,0.00108947,0.00108947
26,2106.21,1.4425,1.81343,0.02807,0.71303,0.75475,0.84397,0.4328,1.75848,1.28007,0.04631,0.00107532,0.00107532,0.00107532
27,2176.28,1.40892,1.69031,0.02835,0.73542,0.81956,0.84638,0.37073,2.0299,1.14948,0.05564,0.00106118,0.00106118,0.00106118
28,2246.37,1.43447,1.83913,0.02882,0.7045,0.84468,0.83864,0.4396,1.77316,1.25251,0.04715,0.00104703,0.00104703,0.00104703
29,2316.43,1.3688,1.74778,0.02565,0.73368,0.80495,0.82153,0.50363,1.48378,1.1757,0.03882,0.00103288,0.00103288,0.00103288
30,2389.56,1.39304,1.67833,0.0285,0.7966,0.75261,0.84276,0.54701,1.25978,1.05571,0.03488,0.00101873,0.00101873,0.00101873
31,2460.52,1.43376,1.69287,0.02919,0.72248,0.76516,0.87611,0.55259,1.43001,1.09364,0.0354,0.00100459,0.00100459,0.00100459
32,2530.67,1.37595,1.6823,0.02709,0.81926,0.79414,0.875,0.52756,1.49433,0.97282,0.038,0.00099044,0.00099044,0.00099044
33,2601.32,1.41258,1.7226,0.02773,0.7847,0.80058,0.88562,0.47176,1.68548,0.962,0.04438,0.000976293,0.000976293,0.000976293
34,2673.23,1.35366,1.58305,0.02639,0.74406,0.84042,0.88248,0.66502,0.97509,0.88331,0.0246,0.000962146,0.000962146,0.000962146
35,2744.63,1.3873,1.64976,0.02785,0.74579,0.79667,0.86286,0.57132,1.35454,1.13225,0.03748,0.000947999,0.000947999,0.000947999
36,2815.04,1.32691,1.59245,0.02582,0.85652,0.76747,0.85458,0.57803,1.22998,0.85692,0.03129,0.000933851,0.000933851,0.000933851
37,2887.82,1.36876,1.56096,0.02606,0.81678,0.74482,0.86018,0.62528,1.0848,0.83907,0.02845,0.000919704,0.000919704,0.000919704
38,2959.45,1.35075,1.59618,0.02659,0.80844,0.82842,0.89358,0.61702,1.14854,0.9556,0.03024,0.000905557,0.000905557,0.000905557
39,3030.14,1.34363,1.57016,0.02685,0.9001,0.79946,0.93059,0.53295,1.59884,0.81318,0.04514,0.00089141,0.00089141,0.00089141
40,3100.14,1.31784,1.48577,0.02551,0.79222,0.86332,0.92767,0.62226,1.26713,0.97296,0.03399,0.000877263,0.000877263,0.000877263
41,3170.09,1.32944,1.55591,0.02621,0.81009,0.80805,0.882,0.51523,1.60707,0.84015,0.04356,0.000863116,0.000863116,0.000863116
42,3240.8,1.35464,1.57619,0.02612,0.81781,0.80913,0.89965,0.57853,1.34777,0.78715,0.03381,0.000848969,0.000848969,0.000848969
43,3312.89,1.36859,1.56385,0.02586,0.83789,0.82716,0.89355,0.57797,1.36749,0.86715,0.03452,0.000834822,0.000834822,0.000834822
44,3383.89,1.28114,1.41518,0.02501,0.82169,0.86095,0.90268,0.68528,0.97157,0.71485,0.02465,0.000820675,0.000820675,0.000820675
45,3463.47,1.35462,1.46436,0.02651,0.79849,0.88251,0.93599,0.66098,1.13657,0.74701,0.02809,0.000806528,0.000806528,0.000806528
46,3537.12,1.28534,1.48316,0.02511,0.82277,0.81669,0.90727,0.6351,1.19736,0.78552,0.03244,0.00079238,0.00079238,0.00079238
47,3609.2,1.31857,1.46999,0.0257,0.81143,0.84697,0.90497,0.68315,0.96099,0.67608,0.02363,0.000778233,0.000778233,0.000778233
48,3679.4,1.29288,1.38288,0.02466,0.81525,0.81671,0.90532,0.61722,1.25697,0.83527,0.03195,0.000764086,0.000764086,0.000764086
49,3749.49,1.29415,1.4404,0.02541,0.89192,0.77306,0.91245,0.56925,1.49592,0.76148,0.03871,0.000749939,0.000749939,0.000749939
50,3819.3,1.36431,1.40897,0.02692,0.86693,0.83909,0.92607,0.73109,0.8533,0.75061,0.02133,0.000735792,0.000735792,0.000735792
51,3889.89,1.31318,1.4698,0.02543,0.80799,0.81804,0.92506,0.64714,1.20557,0.74897,0.03039,0.000721645,0.000721645,0.000721645
52,3960.56,1.31068,1.3836,0.02577,0.75892,0.88919,0.91073,0.65722,1.04517,0.71739,0.02672,0.000707498,0.000707498,0.000707498
53,4031.72,1.27882,1.40514,0.0243,0.81312,0.88602,0.94119,0.69738,1.03287,0.59903,0.02617,0.000693351,0.000693351,0.000693351
54,4103.48,1.25352,1.38425,0.02459,0.7696,0.86947,0.90552,0.63305,1.17198,0.72126,0.03023,0.000679204,0.000679204,0.000679204
55,4174.25,1.24245,1.33682,0.02355,0.78287,0.8647,0.8943,0.61829,1.19799,0.80113,0.03263,0.000665057,0.000665057,0.000665057
56,4245,1.27181,1.35922,0.025,0.83313,0.89804,0.94913,0.62886,1.32122,0.65009,0.036,0.000650909,0.000650909,0.000650909
57,4315.29,1.26315,1.44793,0.02476,0.89676,0.90859,0.96682,0.73469,0.99166,0.52145,0.0246,0.000636762,0.000636762,0.000636762
58,4385.42,1.23804,1.27113,0.02465,0.82963,0.93194,0.9606,0.65344,1.20866,0.65916,0.03208,0.000622615,0.000622615,0.000622615
59,4455.88,1.23785,1.30891,0.02366,0.87145,0.86868,0.95843,0.72222,0.91925,0.51291,0.02351,0.000608468,0.000608468,0.000608468
60,4527.12,1.26979,1.37898,0.0251,0.84513,0.8872,0.95762,0.66732,1.17574,0.62661,0.03089,0.000594321,0.000594321,0.000594321
61,4597.31,1.25653,1.32981,0.02357,0.84269,0.89375,0.96526,0.71358,1.00582,0.5588,0.02617,0.000580174,0.000580174,0.000580174
62,4668.15,1.20656,1.33782,0.0229,0.85019,0.91627,0.95327,0.71566,0.96784,0.54242,0.02477,0.000566027,0.000566027,0.000566027
63,4739.47,1.18352,1.32768,0.02305,0.91315,0.92595,0.96358,0.64543,1.24377,0.57886,0.03255,0.00055188,0.00055188,0.00055188
64,4809.95,1.17303,1.25441,0.02262,0.91912,0.9057,0.96507,0.6794,1.13429,0.60718,0.02909,0.000537733,0.000537733,0.000537733
65,4880.33,1.22709,1.34416,0.02396,0.94335,0.83715,0.96123,0.70922,1.0012,0.5667,0.02556,0.000523586,0.000523586,0.000523586
66,4950.42,1.22576,1.27087,0.02405,0.906,0.93415,0.9659,0.76189,0.8286,0.49009,0.0207,0.000509438,0.000509438,0.000509438
67,5020.88,1.27037,1.28072,0.0245,0.88759,0.8923,0.9497,0.70419,1.01703,0.58103,0.0274,0.000495291,0.000495291,0.000495291
68,5091.85,1.20989,1.23603,0.0232,0.86123,0.91904,0.95961,0.73538,0.91603,0.52962,0.02438,0.000481144,0.000481144,0.000481144
69,5161.94,1.23889,1.2689,0.02374,0.88751,0.93961,0.97237,0.77241,0.76266,0.52106,0.01993,0.000466997,0.000466997,0.000466997
70,5232.13,1.26827,1.25732,0.02455,0.88286,0.94314,0.96963,0.74561,0.87011,0.48984,0.0223,0.00045285,0.00045285,0.00045285
71,5302.48,1.21423,1.24973,0.02265,0.92914,0.91214,0.97123,0.77825,0.77348,0.48806,0.01913,0.000438703,0.000438703,0.000438703
72,5373.38,1.19569,1.24935,0.0226,0.82133,0.93492,0.95278,0.70767,0.99068,0.61823,0.02496,0.000424556,0.000424556,0.000424556
73,5444.21,1.15658,1.16248,0.02168,0.88486,0.96692,0.96287,0.68821,1.093,0.56179,0.02808,0.000410409,0.000410409,0.000410409
74,5513.98,1.18466,1.33461,0.02324,0.89376,0.90174,0.96775,0.759,0.85114,0.47138,0.02166,0.000396262,0.000396262,0.000396262
75,5583.31,1.17112,1.17595,0.02199,0.90473,0.91904,0.9723,0.71474,1.06053,0.49142,0.02721,0.000382115,0.000382115,0.000382115
76,5653.68,1.18699,1.22698,0.02213,0.93972,0.91071,0.97166,0.74825,0.94525,0.44884,0.02377,0.000367967,0.000367967,0.000367967
77,5724.27,1.14949,1.16571,0.0222,0.89399,0.93675,0.96693,0.71937,1.00568,0.44348,0.02624,0.00035382,0.00035382,0.00035382
78,5794.17,1.18594,1.25183,0.02278,0.89714,0.88214,0.96536,0.75428,0.86235,0.51147,0.02223,0.000339673,0.000339673,0.000339673
79,5864.48,1.13189,1.11076,0.02124,0.88825,0.8865,0.97432,0.76185,0.88325,0.53974,0.02301,0.000325526,0.000325526,0.000325526
80,5934.13,1.14651,1.25753,0.02137,0.91249,0.92631,0.97028,0.73187,0.9771,0.51081,0.02539,0.000311379,0.000311379,0.000311379
81,6005.71,1.14832,1.11212,0.0225,0.92628,0.88654,0.96706,0.75832,0.86134,0.50914,0.02238,0.000297232,0.000297232,0.000297232
82,6075.68,1.12916,1.19107,0.02186,0.93223,0.91361,0.97588,0.80001,0.72181,0.39716,0.01817,0.000283085,0.000283085,0.000283085
83,6145.6,1.11952,1.15616,0.02238,0.95197,0.91346,0.97785,0.78551,0.80527,0.38469,0.02108,0.000268938,0.000268938,0.000268938
84,6216.22,1.12759,1.13906,0.02114,0.88472,0.97951,0.97821,0.7705,0.88059,0.39725,0.02313,0.000254791,0.000254791,0.000254791
85,6286.3,1.13856,1.12267,0.02189,0.88442,0.97766,0.98191,0.76998,0.85153,0.40485,0.02162,0.000240644,0.000240644,0.000240644
86,6357.22,1.09197,1.09059,0.02114,0.89748,0.95102,0.97869,0.76733,0.85117,0.41285,0.02127,0.000226497,0.000226497,0.000226497
87,6427.11,1.14378,1.07817,0.02272,0.90042,0.92165,0.9803,0.78227,0.79411,0.42189,0.01994,0.000212349,0.000212349,0.000212349
88,6497.33,1.09801,1.17013,0.02054,0.90572,0.92982,0.97845,0.75246,0.90163,0.42356,0.02332,0.000198202,0.000198202,0.000198202
89,6568.78,1.14506,1.09186,0.02167,0.94599,0.92178,0.97684,0.75052,0.90191,0.40932,0.02309,0.000184055,0.000184055,0.000184055
90,6639.5,1.15374,1.11463,0.02285,0.93513,0.93185,0.97669,0.76636,0.82441,0.40651,0.02033,0.000169908,0.000169908,0.000169908
91,6708.66,0.88837,0.71543,0.02212,0.92825,0.91451,0.97561,0.76658,0.82604,0.40188,0.02059,0.000155761,0.000155761,0.000155761
92,6777.94,0.89983,0.65506,0.02322,0.89664,0.94437,0.96724,0.74311,0.90843,0.43958,0.0229,0.000141614,0.000141614,0.000141614
93,6848.13,0.83255,0.53062,0.02086,0.87336,0.95088,0.9736,0.77554,0.79568,0.4275,0.01962,0.000127467,0.000127467,0.000127467
94,6939.78,0.85419,0.46122,0.02168,0.95377,0.91354,0.97626,0.79132,0.74841,0.43478,0.01851,0.00011332,0.00011332,0.00011332
95,7009.63,0.85969,0.49743,0.02206,0.95083,0.90537,0.97381,0.77933,0.7738,0.45402,0.01939,9.91726e-05,9.91726e-05,9.91726e-05
96,7080.56,0.85191,0.46864,0.02124,0.94247,0.90287,0.97352,0.77773,0.78966,0.45472,0.01987,8.50255e-05,8.50255e-05,8.50255e-05
97,7152.93,0.86367,0.47236,0.02122,0.93937,0.87799,0.97135,0.78127,0.77452,0.46499,0.0194,7.08784e-05,7.08784e-05,7.08784e-05
98,7223.46,0.83591,0.44469,0.02013,0.90318,0.89055,0.96753,0.77715,0.78224,0.46632,0.01949,5.67313e-05,5.67313e-05,5.67313e-05
99,7292.62,0.82115,0.443,0.02046,0.92326,0.8798,0.96838,0.76773,0.80098,0.47163,0.01991,4.25842e-05,4.25842e-05,4.25842e-05
100,7361.05,0.81237,0.44722,0.0203,0.92162,0.89134,0.96885,0.7692,0.7936,0.46823,0.01967,2.84371e-05,2.84371e-05,2.84371e-05
